name,address,city,zipcode,classification_codes,tax_period,asset_amount,income_amount,revenue_amount,ntee_code
2ND VOTE INC,PO BOX 2916,HENDERSONVLLE,37077-2916,2000,12/1/22,98140,2726064,2726064,B90
95FOUNDATION,PO BOX 491,MILLINGTON,38083-0491,2000,12/1/18,0,0,0,B94
A NEW LEAF PTO,4341 PECAN VALLEY RD,NASHVILLE,37218-4212,1200,12/1/22,0,0,0,B94
A ONE ROOM SCHOOL HOUSE ON WHEELS,1339 GLASSHOUSE RD,HELENWOOD,37755-5479,1200,,,,,B90
AACS CHILDRENS SCHOLARSHIP FUND INC,3323 JENKINS RD,CHATTANOOGA,37421-1190,1270,12/1/22,0,0,0,B82
AARON ACADEMY,PO BOX 1687,GALLATIN,37066-1687,2100,12/1/22,378796,485910,485910,B19
ABA NEXT STEPS INC,16239 HIGHWAY 70 E,LENOIR CITY,37772-5475,2000,12/1/21,63722,72823,72823,B03
ACTON ACADEMY NASHVILLE INC,9405 THATCHBAY CT,COLLEGE GROVE,37046-1535,2000,7/1/22,238328,424172,,B90
ADOPT-A-CLASS TN,232 ELOHI WAY,LOUDON,37774-6907,1200,6/1/22,0,0,0,B24
ADVENTURES IN READING,191 JACKSONIAN DR,HERMITAGE,37076-1814,1200,,,,,B90
AHS BASEBALL BULLPEN CLUB,5475 AIRLINE RD,ARLINGTON,38002-4068,1000,12/1/22,20365,113927,113927,B12
AIR FORCE ASSOCIATION,1017 JACKSONIAN WAY,LENOIR CITY,37772-5074,1000,12/1/22,0,0,0,B034
ALCHEMY GLOBAL FOUNDATION,4017 SCARLETT DR,MORRISTOWN,37814-8107,2000,,,,,B80
ALCORN STATE UNIVERSITY ALUMNI ASSOCIATION OF MIDDLE TENNESSEE,1605 CHESTNUT OAK DR,ANTIOCH,37013-1546,1000,12/1/21,2035,6113,6113,B84
ALERT MIDSOUTH INC,PO BOX 1771,GOODLETTSVLLE,37070-1771,2000,12/1/21,0,0,0,B99
ALIYA INTERNATIONAL STUDENT EXCHANGE PROGRAM INC,7417 RIDGEVIEW RD,CORRYTON,37721-3930,2100,12/1/21,7857,113766,113766,B90
ALL SAINTS BIBLE COLLEGE,930 MASON ST,MEMPHIS,38126-5219,2000,,,,,B42
ALLIANCE ONE FOUNDATION LLC,2965 BANNOCKBURN RD,MEMPHIS,38128-2990,2000,,,,,B11
ALLMEMPHIS INC,1350 CONCOURSE AVENUE,MEMPHIS,38104-2010,1200,6/1/22,1193815,1249783,1249783,B80
ALPHA CHI CHAPTER-CHI ETA PHI SORORITY,1214 CONCORD HUNT DR,BRENTWOOD,37027-8759,1200,12/1/21,0,0,0,B83
ALPHA SIGMA PHI FRATERNITY INC,1301 E MAIN ST,MURFREESBORO,37132-0002,1000,6/1/22,0,0,0,B83
ALPHA THETA CHAPTER OF KAPPA ALPHA PSI FRATERNITY INC,5011 W OAK HIGHLAND DR,ANTIOCH,37013-0000,1000,,,,,B83
ALUMNI TRUSTEES OF TENNESSEE BETA CHAPTER OF SIGMA PHI EPSILON,540 S BELVEDERE BLVD,MEMPHIS,38104-5001,1000,12/1/22,110796,22500,22500,B83
ALYNVAUGHNFOUNDATION,4312 SUNNYBROOK DR,NASHVILLE,37205-3837,2000,,,,,B99
AMERICAN COLLEGE OF GENERAL MEDICINE INC,4407 GLEN EDEN RD,KINGSPORT,37664-2112,2000,6/1/21,0,0,0,B40
AMERICAN DESIGN & DRAFTING ASSOCIATION,230 EAST MAIN STREET 2ND FLOOR,NEWBERN,38059-1515,2000,12/1/21,46758,95769,95769,B90
AMERICAS ALL STARS INC,215 WARD CIRCLE,BRENTWOOD,37027-2304,2000,12/1/16,0,0,0,B90
ANOINTED VESSELS CHRISTIAN SCHOOL,5655 HINTON PL,MEMPHIS,38119-7009,1200,12/1/22,0,0,0,B21
ANSLEY ACADEMIC INSTITUTE,2498 WALKER LN,NASHVILLE,37207-4214,2000,,,,,B80
ANTEKE ASSOCIATION,7522 WILLOWCREEK POINTE LN,KNOXVILLE,37931-2573,1200,,,,,B03
ARROW ACADEMY OF EXCELLENCE,645 SEMMES ST,MEMPHIS,38111-2201,2000,6/1/22,519067,1081417,1081417,B29
ART TECHNICALLY,8833 EATONWICK DR,CORDOVA,38016-4649,2000,12/1/22,0,0,0,B20
ASE ACADEMIES INC,20 DUDLEY ST STE 900,MEMPHIS,38103-4904,2000,6/1/17,0,0,0,B29
ASPERA INC,2095 EXETER RD STE 80 # 208,GERMANTOWN,38138-3919,1000,10/1/21,0,0,0,B90
ASSOCIATION FOR CONTINUING HIGHER EDUCATION,1501 UNIVERSITY BLVD,KINGSPORT,37660-8488,2000,12/1/19,0,0,0,B60
ASSOCIATION FOR CONTINUING HIGHER EDUCATION,1501 UNIVERSITY BLVD,KINGSPORT,37660-8488,2000,12/1/19,0,0,0,B60
ASSOCIATION FOR CONTINUING HIGHER EDUCATION,1501 UNIVERSITY BLVD,KINGSPORT,37660-8488,2000,12/1/19,0,0,0,B60
AURORA COLLEGIATE ACADEMY INC,C/O GRANT MONDA 4841 SUMMER AVE,MEMPHIS,38122-0000,2000,6/1/22,14728049,5524109,5524109,B24
AURORA FOUNDATION INC,5101 WHEELIS DR STE 320,MEMPHIS,38117-4535,1200,,,,,B60
AUXILIARY SERVICES FOUNDATION,635 NORMAL ST,MEMPHIS,38152-4500,1000,6/1/22,18678367,9864492,9864492,B11
AVERY TRACE MIDDLE SCHOOL BAND BOOSTERS,230 RAIDER DR,COOKEVILLE,38501-4553,1200,6/1/22,0,0,0,B94
BACK THE BLUE TENNESSEE INC,PO BOX 1251,FRANKLIN,37065-1251,1200,12/1/21,0,0,0,B90
BARTLETT EDUCATION FOUNDATION INC,2969 ELMORE PARK RD,BARTLETT,38134-8300,2000,12/1/22,76425,67657,67657,B90
BARTLETT ROTARY FOUNDATION,PO BOX 341418,BARTLETT,38184-1418,1200,12/1/19,0,0,0,B99
BAXTER PRIMARY SCHOOL PTO,125 ELMORE TOWN RD,BAXTER,38544-5027,1000,6/1/22,0,0,0,B94
BEAN STATION ELEMENTARY SCHOOL PTO,200 BEAN STATION SCHOOL RD,BEAN STATION,37708-4336,1500,12/1/16,0,0,0,B94
BEECH CREEK MINISTRIES INC,3101 CURTIS ST,NASHVILLE,37218-2819,1000,12/1/22,25387,72796,72796,B90
BEECH HIGH SCHOOL COMMUNITY BAND BOOSTERS ASSOCIATION INC,PO BOX 2982,HENDERSONVLLE,37077-2982,2000,5/1/22,35239,64984,59312,B11
BEECH HIGH SCHOOL FOOTBALL BOOSTER CLUB,3126 LONG HOLLOW PIKE,HENDERSONVLLE,37075-8781,1200,12/1/22,29964,249130,249130,B25
BELLEVUE HOME SCHO0L ENRICHMENT,PO BOX 253,PEGRAM,37143-0253,2000,5/1/22,60197,167477,164927,B20
BELLEVUE MIDDLE SCHOOL MUSIC DEPARTMENT BOOSTERS,655 COLICE JEANNE RD,NASHVILLE,37221-2812,1000,7/1/18,0,0,0,B11
BENGAL PTO,1920 MADISON ST,CLARKSVILLE,37043-5065,1200,6/1/22,0,0,0,B94
BETAH GROUP INCORPORATED,1721 CLUBHOUSE DR,DYERSBURG,38024-8865,2000,12/1/21,119,857,857,B99
BETHEL SPRINGS ATHLETIC BOOSTER CLUB,4733 MAIN ST,BETHEL SPGS,38315-2524,1000,12/1/20,0,0,0,B114
BETHEL UNIVERSITY,325 CHERRY AVE,MC KENZIE,38201-1769,2700,7/1/22,93871975,51478437,51478437,B43Z
BETHPAGE PTO,PO BOX 68,BETHPAGE,37022-0068,2000,6/1/21,0,0,0,B94
BIZVETS CONNECT INC,138 CENTER POINTE DR SUITE D,CLARKSVILLE,37040-0000,1200,,,,,B03
BLACK LEGISLATIVE LEADERS NETWORK,908 DIVISION ST APT 1414,NASHVILLE,37203-5783,2000,,,,,B03
BLACKMAN ELEMENTARY PTO,586 FORTRESS BLVD,MURFREESBORO,37128-4128,1000,6/1/22,0,0,0,B94
BLACKMAN HIGH SCHOOL DANCE TEAM BOOSTER CLUB,3956 BLAZE DR,MURFREESBORO,37128-3845,2000,5/1/17,0,0,0,B90
BLACKMAN HIGH SCHOOL FIELD ENHANCEMENT ORGANIZATION,3956 BLAZE DR,MURFREESBORO,37128-3845,2000,12/1/22,395348,60500,60500,B11
BLEDSOE COUNTY LITERACY COUNCIL,933 SEQUATCHIE RD W,PIKEVILLE,37367-5507,2000,6/1/22,0,0,0,B92
BLEDSOE COUNTY MIDDLE SCHOOL PTO,857 MAIN ST,PIKEVILLE,37367-4932,1200,6/1/20,0,0,0,B94
BLESSED EARTH TENNESSEE,409 BARNES DR,LEBANON,37087-4238,2700,12/1/22,0,0,0,B99
BLUFF CITY ELEMENTARY SCHOOL PTO,282 J FORREST THOMAS ST,BLUFF CITY,37618-2815,1200,6/1/22,5847,19383,,B94
BOLTON FOOTBALL BOOSTER CLUB,7323 BRUNSWICK RD,ARLINGTON,38002-9605,1000,,,,,B11
BOONES CREEK MIDDLE SCHOOL ATHLETIC BOOSTERS,132 HIGHLAND CHURCH RD,JOHNSON CITY,37615-4452,1000,12/1/22,0,0,0,B11
BORN LEGEND FAMILY FOUNDATION,702 PARK DR,GOODLETTSVLLE,37072-3148,2000,,,,,B12
BOURBON SYNDICATE,742 INSPIRATION BLVD,MADISON,37115-3171,1200,12/1/22,1,1,,B03
BRIGHTON HIGH SCHOOL BAND BOOSTER,PO BOX 608,BRIGHTON,38011-0608,1000,7/1/21,0,0,0,B94
BRIGHTON HIGH SCHOOL VOLLEYBALL,8045 HIGHWAY 51 S,BRIGHTON,38011-8003,2000,6/1/22,0,0,0,B12
BRIGHTSTONE INC,PO BOX 682966,FRANKLIN,37068-2966,2000,12/1/21,17022815,7769242,7607205,B28
BRINER INSTITUTE INC,8105 VICTORY TRL,BRENTWOOD,37027-7300,1000,12/1/22,0,0,0,B82
BROKEN BRAINS CORPORATION,319 VANN DR STE E 254,JACKSON,38305-6032,2000,12/1/19,480,139,-461,B01
