,company_name,location,classification,revenue
0,,"HENDERSONVLLE, TN",Educational Services and Schools - Other,"$2,726,064"
1,,"MILLINGTON, TN",Parent/Teacher Group,
2,,"NASHVILLE, TN",Parent/Teacher Group,
3,,"HELENWOOD, TN",Educational Services and Schools - Other,
4,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
5,,"GALLATIN, TN",Nonmonetary Support N.E.C.,"$485,910"
6,,"LENOIR CITY, TN","Professional Societies, Associations","$72,823"
7,,"COLLEGE GROVE, TN",Educational Services and Schools - Other,
8,,"LOUDON, TN","Primary, Elementary Schools",
9,,"HERMITAGE, TN",Educational Services and Schools - Other,
10,,"ARLINGTON, TN",Fund Raising and/or Fund Distribution,"$113,927"
11,,"LENOIR CITY, TN","Professional Societies, Associations",
12,,"MORRISTOWN, TN","Student Services, Organizations of Students",
13,,"ANTIOCH, TN",Alumni Associations,"$6,113"
14,,"GOODLETTSVLLE, TN",Education N.E.C.,
15,,"CORRYTON, TN",Educational Services and Schools - Other,"$113,766"
16,,"MEMPHIS, TN",Undergraduate College (4-year),
17,,"MEMPHIS, TN",Single Organization Support,
18,,"MEMPHIS, TN","Student Services, Organizations of Students","$1,249,783"
19,,"BRENTWOOD, TN","Student Sororities, Fraternities",
20,,"MURFREESBORO, TN","Student Sororities, Fraternities",
21,,"ANTIOCH, TN","Student Sororities, Fraternities",
22,,"MEMPHIS, TN","Student Sororities, Fraternities","$22,500"
23,,"NASHVILLE, TN",Education N.E.C.,
24,,"KINGSPORT, TN",Higher Education Institutions,
25,,"NEWBERN, TN",Educational Services and Schools - Other,"$95,769"
26,,"BRENTWOOD, TN",Educational Services and Schools - Other,
27,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
28,,"NASHVILLE, TN","Student Services, Organizations of Students",
29,,"KNOXVILLE, TN","Professional Societies, Associations",
30,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$1,081,417"
31,,"CORDOVA, TN","Elementary, Secondary Education, K - 12",
32,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)",
33,,"GERMANTOWN, TN",Educational Services and Schools - Other,
34,,"KINGSPORT, TN","Adult, Continuing Education",
35,,"KINGSPORT, TN","Adult, Continuing Education",
36,,"KINGSPORT, TN","Adult, Continuing Education",
37,,"MEMPHIS, TN","Primary, Elementary Schools","$5,524,109"
38,,"MEMPHIS, TN","Adult, Continuing Education",
39,,"MEMPHIS, TN",Single Organization Support,"$9,864,492"
40,,"COOKEVILLE, TN",Parent/Teacher Group,
41,,"FRANKLIN, TN",Educational Services and Schools - Other,
42,,"BARTLETT, TN",Educational Services and Schools - Other,"$67,657"
43,,"BARTLETT, TN",Education N.E.C.,
44,,"BAXTER, TN",Parent/Teacher Group,
45,,"BEAN STATION, TN",Parent/Teacher Group,
46,,"NASHVILLE, TN",Educational Services and Schools - Other,"$72,796"
47,,"HENDERSONVLLE, TN",Single Organization Support,"$59,312"
48,,"HENDERSONVLLE, TN","Secondary, High School","$249,130"
49,,"PEGRAM, TN","Elementary, Secondary Education, K - 12","$164,927"
50,,"NASHVILLE, TN",Single Organization Support,
51,,"CLARKSVILLE, TN",Parent/Teacher Group,
52,,"DYERSBURG, TN",Education N.E.C.,$857
53,,"BETHEL SPGS, TN",Single Organization Support,
54,,"MC KENZIE, TN",University or Technological Institute,"$51,478,437"
55,,"BETHPAGE, TN",Parent/Teacher Group,
56,,"CLARKSVILLE, TN","Professional Societies, Associations",
57,,"NASHVILLE, TN","Professional Societies, Associations",
58,,"MURFREESBORO, TN",Parent/Teacher Group,
59,,"MURFREESBORO, TN",Educational Services and Schools - Other,
60,,"MURFREESBORO, TN",Single Organization Support,"$60,500"
61,,"PIKEVILLE, TN","Remedial Reading, Reading Encouragement",
62,,"PIKEVILLE, TN",Parent/Teacher Group,
63,,"LEBANON, TN",Education N.E.C.,
64,,"BLUFF CITY, TN",Parent/Teacher Group,
65,,"ARLINGTON, TN",Single Organization Support,
66,,"JOHNSON CITY, TN",Single Organization Support,
67,,"GOODLETTSVLLE, TN",Fund Raising and/or Fund Distribution,
68,,"MADISON, TN","Professional Societies, Associations",
69,,"BRIGHTON, TN",Parent/Teacher Group,
70,,"BRIGHTON, TN",Fund Raising and/or Fund Distribution,
71,,"FRANKLIN, TN",Specialized Education Institutions,"$7,607,205"
72,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards",
73,,"JACKSON, TN",Alliance/Advocacy Organizations,
74,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
75,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement",
76,,"MOUNT JULIET, TN",Educational Services and Schools - Other,
77,,"BRENTWOOD, TN",Educational Services and Schools - Other,
78,,"CALHOUN, TN","Scholarships, Student Financial Aid Services, Awards","$3,579"
79,,"GREENEVILLE, TN","Scholarships, Student Financial Aid Services, Awards",$561
80,,"JEFFERSON CTY, TN",Undergraduate College (4-year),"$65,286,029"
81,,"STRAW PLAINS, TN",Single Organization Support,"$46,172"
82,,"MEMPHIS, TN",Educational Services and Schools - Other,"$16,381"
83,,"KNOXVILLE, TN",Educational Services and Schools - Other,
84,,"SMYRNA, TN",Educational Services and Schools - Other,"$37,768"
85,,"MCMINNVILLE, TN","Elementary, Secondary Education, K - 12",
86,,"MADISON, TN",Education N.E.C.,"$293,173"
87,,"MEMPHIS, TN","Student Services, Organizations of Students",
88,,"CROSSVILLE, TN",Single Organization Support,
89,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement",
90,,"FRANKLIN, TN","Adult, Continuing Education","$85,277"
91,,"ALAMO, TN","Scholarships, Student Financial Aid Services, Awards","$265,981"
92,,"COLLIERVILLE, TN","Primary, Elementary Schools",
93,,"MARYVILLE, TN",Educational Services and Schools - Other,
94,,"HUMBOLDT, TN",Education N.E.C.,
95,,"BARTLETT, TN",Fund Raising and/or Fund Distribution,
96,,"NASHVILLE, TN",Parent/Teacher Group,
97,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
98,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12 (B29)","$6,222,430"
99,,"CHATTANOOGA, TN",Single Organization Support,"$1,112,258"
100,,"HENDERSONVLLE, TN",Educational Services and Schools - Other,"$2,726,064"
101,,"MILLINGTON, TN",Parent/Teacher Group,
102,,"NASHVILLE, TN",Parent/Teacher Group,
103,,"HELENWOOD, TN",Educational Services and Schools - Other,
104,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
105,,"GALLATIN, TN",Nonmonetary Support N.E.C.,"$485,910"
106,,"LENOIR CITY, TN","Professional Societies, Associations","$72,823"
107,,"COLLEGE GROVE, TN",Educational Services and Schools - Other,
108,,"LOUDON, TN","Primary, Elementary Schools",
109,,"HERMITAGE, TN",Educational Services and Schools - Other,
110,,"ARLINGTON, TN",Fund Raising and/or Fund Distribution,"$113,927"
111,,"LENOIR CITY, TN","Professional Societies, Associations",
112,,"MORRISTOWN, TN","Student Services, Organizations of Students",
113,,"ANTIOCH, TN",Alumni Associations,"$6,113"
114,,"GOODLETTSVLLE, TN",Education N.E.C.,
115,,"CORRYTON, TN",Educational Services and Schools - Other,"$113,766"
116,,"MEMPHIS, TN",Undergraduate College (4-year),
117,,"MEMPHIS, TN",Single Organization Support,
118,,"MEMPHIS, TN","Student Services, Organizations of Students","$1,249,783"
119,,"BRENTWOOD, TN","Student Sororities, Fraternities",
120,,"MURFREESBORO, TN","Student Sororities, Fraternities",
121,,"ANTIOCH, TN","Student Sororities, Fraternities",
122,,"MEMPHIS, TN","Student Sororities, Fraternities","$22,500"
123,,"NASHVILLE, TN",Education N.E.C.,
124,,"KINGSPORT, TN",Higher Education Institutions,
125,,"NEWBERN, TN",Educational Services and Schools - Other,"$95,769"
126,,"BRENTWOOD, TN",Educational Services and Schools - Other,
127,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
128,,"NASHVILLE, TN","Student Services, Organizations of Students",
129,,"KNOXVILLE, TN","Professional Societies, Associations",
130,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$1,081,417"
131,,"CORDOVA, TN","Elementary, Secondary Education, K - 12",
132,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)",
133,,"GERMANTOWN, TN",Educational Services and Schools - Other,
134,,"KINGSPORT, TN","Adult, Continuing Education",
135,,"KINGSPORT, TN","Adult, Continuing Education",
136,,"KINGSPORT, TN","Adult, Continuing Education",
137,,"MEMPHIS, TN","Primary, Elementary Schools","$5,524,109"
138,,"MEMPHIS, TN","Adult, Continuing Education",
139,,"MEMPHIS, TN",Single Organization Support,"$9,864,492"
140,,"COOKEVILLE, TN",Parent/Teacher Group,
141,,"FRANKLIN, TN",Educational Services and Schools - Other,
142,,"BARTLETT, TN",Educational Services and Schools - Other,"$67,657"
143,,"BARTLETT, TN",Education N.E.C.,
144,,"BAXTER, TN",Parent/Teacher Group,
145,,"BEAN STATION, TN",Parent/Teacher Group,
146,,"NASHVILLE, TN",Educational Services and Schools - Other,"$72,796"
147,,"HENDERSONVLLE, TN",Single Organization Support,"$59,312"
148,,"HENDERSONVLLE, TN","Secondary, High School","$249,130"
149,,"PEGRAM, TN","Elementary, Secondary Education, K - 12","$164,927"
150,,"NASHVILLE, TN",Single Organization Support,
151,,"CLARKSVILLE, TN",Parent/Teacher Group,
152,,"DYERSBURG, TN",Education N.E.C.,$857
153,,"BETHEL SPGS, TN",Single Organization Support,
154,,"MC KENZIE, TN",University or Technological Institute,"$51,478,437"
155,,"BETHPAGE, TN",Parent/Teacher Group,
156,,"CLARKSVILLE, TN","Professional Societies, Associations",
157,,"NASHVILLE, TN","Professional Societies, Associations",
158,,"MURFREESBORO, TN",Parent/Teacher Group,
159,,"MURFREESBORO, TN",Educational Services and Schools - Other,
160,,"MURFREESBORO, TN",Single Organization Support,"$60,500"
161,,"PIKEVILLE, TN","Remedial Reading, Reading Encouragement",
162,,"PIKEVILLE, TN",Parent/Teacher Group,
163,,"LEBANON, TN",Education N.E.C.,
164,,"BLUFF CITY, TN",Parent/Teacher Group,
165,,"ARLINGTON, TN",Single Organization Support,
166,,"JOHNSON CITY, TN",Single Organization Support,
167,,"GOODLETTSVLLE, TN",Fund Raising and/or Fund Distribution,
168,,"MADISON, TN","Professional Societies, Associations",
169,,"BRIGHTON, TN",Parent/Teacher Group,
170,,"BRIGHTON, TN",Fund Raising and/or Fund Distribution,
171,,"FRANKLIN, TN",Specialized Education Institutions,"$7,607,205"
172,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards",
173,,"JACKSON, TN",Alliance/Advocacy Organizations,
174,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
175,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement",
176,,"MOUNT JULIET, TN",Educational Services and Schools - Other,
177,,"BRENTWOOD, TN",Educational Services and Schools - Other,
178,,"CALHOUN, TN","Scholarships, Student Financial Aid Services, Awards","$3,579"
179,,"GREENEVILLE, TN","Scholarships, Student Financial Aid Services, Awards",$561
180,,"JEFFERSON CTY, TN",Undergraduate College (4-year),"$65,286,029"
181,,"STRAW PLAINS, TN",Single Organization Support,"$46,172"
182,,"MEMPHIS, TN",Educational Services and Schools - Other,"$16,381"
183,,"KNOXVILLE, TN",Educational Services and Schools - Other,
184,,"SMYRNA, TN",Educational Services and Schools - Other,"$37,768"
185,,"MCMINNVILLE, TN","Elementary, Secondary Education, K - 12",
186,,"MADISON, TN",Education N.E.C.,"$293,173"
187,,"MEMPHIS, TN","Student Services, Organizations of Students",
